Keyword,Total,"Alabama ","Alaska ","Arizona ","Arkansas ","California ","Colorado ","Connecticut ","Delaware ","Florida ","Georgia ","Hawaii ","Idaho ","Illinois ","Indiana ","Iowa ","Kansas ","Kentucky ","Louisiana ","Maine ","Maryland ","Massachusetts ","Michigan ","Minnesota ","Mississippi ","Missouri ","Montana ","Nebraska ","Nevada ","New Hampshire ","New Jersey ","New Mexico ","New York ","North Carolina ","North Dakota ","Ohio ","Oklahoma ","Oregon ","Pennsylvania ","Rhode Island ","South Carolina ","South Dakota ","Tennessee ","Texas ","Utah ","Vermont ","Virginia ","Washington ","West Virginia ","Wisconsin ","Wyoming ",Total
beetles,1440,20,10,20,20,90,20,40,10,70,50,10,10,10,40,10,10,20,10,10,50,50,40,20,10,30,10,10,10,10,40,10,110,70,10,90,10,10,70,10,20,10,50,70,10,10,50,20,10,30,10,1440
mosquitos,1890,20,10,50,20,590,30,10,10,110,40,20,10,10,10,10,10,20,30,10,20,20,30,10,10,30,10,10,40,10,30,20,90,40,10,30,20,10,30,10,20,10,30,210,20,10,30,30,10,10,10,1890
millipedes,2380,70,10,10,10,50,10,10,10,390,480,20,10,10,20,20,10,50,20,10,30,20,40,40,30,30,10,10,10,10,30,10,70,170,10,50,10,10,70,10,90,10,50,110,10,10,90,20,20,70,10,2380
spotted lanternflies,3270,10,0,10,10,20,10,50,20,20,10,10,10,10,10,10,10,10,10,10,210,20,10,10,10,10,10,10,10,10,480,10,880,20,10,50,10,10,1000,10,10,10,10,10,10,10,90,10,50,10,10,3270
centipedes,4260,90,10,30,20,110,30,90,10,170,390,90,10,10,90,50,30,90,30,10,70,170,210,170,50,70,10,20,20,10,210,40,390,170,10,260,10,20,260,30,70,10,90,110,10,10,140,20,20,210,10,4260
hornets,6280,70,10,70,40,260,70,90,50,140,260,10,20,20,210,50,30,170,40,40,260,170,210,170,20,140,20,20,20,30,260,20,390,320,20,480,50,90,480,30,90,10,210,320,70,10,320,170,110,110,10,6280
ticks,7360,90,10,260,70,1000,110,70,20,320,210,30,30,30,170,70,90,110,70,40,140,170,320,110,50,210,20,70,50,30,170,90,480,210,10,320,140,70,260,20,70,20,210,720,50,20,210,140,30,140,10,7360
crickets,9100,40,10,480,70,1600,110,140,40,210,90,20,20,20,260,140,110,70,140,20,170,140,210,170,40,210,10,110,170,20,480,70,720,170,30,260,260,20,320,40,50,40,90,1300,50,10,140,50,40,110,10,9100
bees,11220,90,10,390,40,1600,110,170,40,480,260,30,10,10,260,70,40,90,110,20,260,260,590,210,40,140,20,30,90,30,480,50,1300,260,30,720,50,90,720,40,90,30,110,1000,50,10,210,210,50,210,10,11220
wasps,11460,170,10,320,140,1000,260,90,50,480,320,30,70,70,210,260,140,170,210,20,210,140,320,390,110,390,40,90,90,20,320,110,590,320,70,320,210,210,480,20,170,50,320,1300,210,10,260,390,50,210,20,11460
earwigs,11560,70,10,110,70,1300,390,110,30,210,140,10,170,170,320,110,10,110,70,90,140,390,1600,140,30,40,70,30,50,50,140,20,480,320,10,590,590,210,590,90,140,40,210,390,260,70,390,320,110,480,70,11560
silverfish,12040,140,10,320,50,1900,110,140,50,1600,320,50,10,10,170,90,110,140,260,50,260,260,210,210,70,210,10,90,90,50,390,30,720,320,10,390,90,170,480,40,170,10,170,1000,50,20,390,260,70,260,10,12040
spiders,13210,210,20,170,140,1600,320,140,50,880,480,40,50,50,320,170,140,210,170,50,260,260,480,320,140,320,40,90,70,50,260,70,880,390,40,590,140,170,590,40,210,40,320,880,110,30,390,390,90,320,20,13210
termites,15150,390,10,480,110,2400,140,140,40,1900,480,170,30,30,260,90,90,260,590,20,260,210,260,90,260,260,20,50,90,40,320,90,720,480,10,480,170,110,590,30,210,10,320,1600,70,10,320,210,110,110,10,15150
carpenter ants,16400,210,50,90,110,480,170,390,50,1300,480,70,50,50,480,210,110,210,170,210,320,720,1000,390,110,320,40,90,40,170,480,70,1300,590,20,1000,140,210,1000,110,170,30,320,1300,70,90,390,390,140,480,10,16400
rats,16530,480,10,320,210,2400,140,170,40,1300,880,90,20,20,140,70,50,260,480,110,260,390,320,110,320,170,10,40,110,70,320,50,1000,590,20,480,170,320,590,70,320,10,480,1900,70,50,390,390,140,170,10,16530
stink bugs,24650,480,10,70,70,320,90,320,110,210,880,10,50,50,1300,170,70,1000,40,70,590,720,1600,720,170,480,40,70,30,110,480,20,1300,1900,10,2400,30,720,1600,110,590,10,1300,260,50,30,880,1900,480,720,10,24650
cockroaches,28380,390,30,720,260,5400,390,210,70,1900,880,210,70,70,720,320,260,390,260,90,480,590,720,320,210,590,30,210,260,90,720,260,1900,1000,40,1000,390,210,1000,90,390,70,720,2400,260,30,880,390,210,260,20,28380
mice,36310,590,70,480,480,2400,880,590,210,720,720,50,210,210,1000,480,720,720,480,140,1600,1600,1000,720,320,1000,140,320,170,140,1300,480,2900,1300,90,1900,720,260,2400,210,480,90,880,1900,320,70,1300,590,260,590,110,36310
fleas,55560,1000,30,390,880,8100,390,390,210,3600,2400,210,110,110,1600,480,590,1300,1000,260,720,720,1900,480,720,1300,70,260,170,170,1000,140,2400,1900,50,2900,1000,720,2400,140,1000,90,1600,6600,140,110,1600,1000,590,590,30,55560
ants,56690,590,40,1000,590,6600,880,590,320,2400,1600,260,320,320,1300,880,720,1000,590,320,1600,1000,1600,720,390,1600,140,390,590,210,1900,390,3600,1900,90,2400,720,1000,3600,170,590,140,1600,4400,590,110,1900,1600,480,880,70,56690
bed bugs,101560,1900,210,1900,1600,12100,1600,880,320,5400,4400,480,480,480,2400,1000,1300,1900,1600,320,1600,1600,3600,1300,1300,2900,320,720,1300,320,1900,720,5400,3600,210,4400,1900,880,3600,260,2400,320,2900,9900,880,140,2400,1900,880,1600,140,101560
Total search volume,446700,7120,590,7690,5010,51320,6260,4830,1760,23810,15770,1920,1770,1770,11290,4760,4650,8300,6380,1920,9510,9620,16270,6820,4410,10450,1090,2740,3480,1650,11710,2770,27620,16040,810,21110,6830,5520,22130,1580,7350,1060,11990,37680,3360,870,12770,10400,3950,7570,620,446700