rank,pest,Avg. monthly searches,Year-on-year- change
1,Bed bugs,101560,8%
2,Ants,56690,28%
3,Fleas,55560,24%
4,Mice,36310,12%
5,Cockroaches,28380,31%
6,Stink Bugs,24650,38%
7,Rats,16530,5%
8,Carpenter Ants,16400,28%
9,Termites,15150,14%
10,Spiders,13210,15%
11,silverfish,12040,40%
12,earwigs,11560,-5%
13,wasps,11460,8%
14,bees,11220,-11%
15,crickets,9100,-8%
16,ticks,7360,7%
17,hornets,6280,-1%
18,centipedes,4260,6%
19,spotted lanternflies,3270,-23%
20,millipedes,2380,11%
21,mosquitos,1890,-59%
22,beetles,1440,28%